RefSeq_accession_number,gene_symbol,gene_name,AO_A12D,C8_A131,BH_A18Q,C8_A130,C8_A138,E2_A154,C8_A12L,A2_A0EX,A7_A0CE,AN_A04A
NP_008970,PTPN21,tyrosine-protein phosphatase non-receptor type 21,1,1,-1,-1,2,-0.74,-0.64,0.08,1.89,0.47
NP_057151,MRPS18C,"28S ribosomal protein S18c, mitochondrial",0,-2,-1,0,0,0.76,-1.32,-0.82,1.89,1.4
NP_005975,SLC25A1,"tricarboxylate transport protein, mitochondrial isoform a precursor",2,0,-1,-1,2,-2.15,-0.31,-1.6,1.89,2.38
NP_001856,COX7A2,"cytochrome c oxidase subunit 7A2, mitochondrial precursor",2,0,2,0,0,-0.07,-0.33,-2.83,1.89,-2.04
NP_001184060,NA,protein phosphatase 1 regulatory subunit 12B isoform g,2,-1,1,0,0,-0.77,-1.74,2.31,1.88,0.31
NP_000017,ADSL,adenylosuccinate lyase isoform a,2,0,0,0,-1,-0.37,0.32,0.18,1.88,-0.37
NP_997006,GAB1,GRB2-associated-binding protein 1 isoform a,2,1,1,-1,0,0.2,-0.83,1.46,1.88,0.09
NP_055503,USP6NL,USP6 N-terminal-like protein isoform 1,1,2,1,0,1,-1.34,0.93,0.52,1.88,1.09
NP_001123553,PLD1,phospholipase D1 isoform b,2,2,-6,0,0,0,2.19,-0.39,1.88,-0.31
NP_002653,PLD1,phospholipase D1 isoform a,2,2,-5,0,0,0,2.19,-0.39,1.88,-0.31
NP_996662,NA,DPH3 homolog isoform 1,1,1,0,1,0,0.73,0.22,1.95,1.88,1.01
NP_060026,FBLIM1,filamin-binding LIM protein 1 isoform a,2,3,1,2,1,0.54,0.02,1.29,1.88,0.53
NP_002529,OCLN,occludin isoform a,1,-1,1,-2,3,-0.85,-1.16,-2.19,1.88,-0.04
NP_009209,GABARAP,gamma-aminobutyric acid receptor-associated protein,1,1,1,0,1,-0.57,-1.14,-1.67,1.88,0.91
NP_057691,ARMCX3,armadillo repeat-containing X-linked protein 3,2,0,-1,-1,0,-0.03,0.34,-0.54,1.87,-0.79
NP_003323,TYROBP,TYRO protein tyrosine kinase-binding protein isoform 1 precursor,2,0,2,-2,0,0,0.15,0.27,1.87,-2.06
NP_001009185,ACSL6,long-chain-fatty-acid--CoA ligase 6 isoform b,3,2,0,0,0,1.38,-1.75,-1.52,1.87,-4.15
NP_006460,IVNS1ABP,influenza virus NS1A-binding protein,0,0,1,0,1,-1.7,2,-0.1,1.87,0.06
NP_073752,RFX7,DNA-binding protein RFX7,1,0,-1,0,2,-2.75,0.18,1.08,1.87,1.97
NP_001010989,HERPUD1,homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein isoform 2,0,0,-4,1,0,-2.08,0.34,-2.03,1.87,0.46
NP_004945,MARK2,serine/threonine-protein kinase MARK2 isoform c,2,1,0,1,1,-1.44,0.41,-0.48,1.87,0.05
NP_001001331,ATP2B2,plasma membrane calcium-transporting ATPase 2 isoform 1,1,1,-1,0,2,-3.22,-0.08,-0.07,1.87,1.85
NP_055336,SH3BP4,SH3 domain-binding protein 4,2,2,0,2,0,0.06,-1.18,-0.64,1.87,0.21
NP_002472,PPP1R12B,protein phosphatase 1 regulatory subunit 12B isoform a,1,0,-1,0,0,-0.77,-1.84,1.86,1.86,0.17
NP_036365,RAB3GAP1,rab3 GTPase-activating protein catalytic subunit isoform 2,2,1,-1,0,1,0.16,1.22,-0.15,1.86,-0.43
NP_001186711,NA,POC1B-GALNT4 protein isoform 2,0,2,-2,2,0,-1.84,0.19,-2.59,1.86,1.52
NP_055098,C1ORF9,SUN domain-containing ossification factor isoform 1 precursor,1,1,0,1,0,0,-1.07,0.17,1.86,-0.22
NP_006386,ATG7,ubiquitin-like modifier-activating enzyme ATG7 isoform a,2,1,1,-1,1,1.1,-0.53,0.57,1.86,-0.09
NP_001248763,NA,protein TBRG4 isoform 3,2,0,0,2,0,-0.03,0.06,-1.42,1.86,1.44
NP_001129584,CASP5,caspase-5 isoform f precursor,2,3,1,-1,0,-1.13,2.14,1.27,1.86,-5.02
NP_001124317,BCL6,B-cell lymphoma 6 protein isoform 1,0,0,-2,1,-1,-3.56,-1.42,0.81,1.86,-3.37
NP_071939,ZDHHC6,palmitoyltransferase ZDHHC6,3,0,-3,1,-1,-7.6,0,0,1.86,1.21
NP_001156769,MARK2,serine/threonine-protein kinase MARK2 isoform f,2,1,0,1,1,-1.2,0.45,-0.54,1.86,-0.12
NP_001238947,NA,prosalusin isoform f,-2,-2,-1,0,-3,2.14,-0.85,-1.49,1.85,1.2
YP_003024030,NA,ATP synthase F0 subunit 8,2,1,0,0,1,-0.97,-0.55,-1.03,1.85,0.5
NP_002838,PTPRN2,receptor-type tyrosine-protein phosphatase N2 isoform 1 precursor,0,0,-2,1,0,-2.65,0,0,1.85,-1.34
NP_570857,PTPRN2,receptor-type tyrosine-protein phosphatase N2 isoform 2 precursor,0,0,-2,1,0,-2.65,0,0,1.85,-1.34
NP_620148,CANT1,soluble calcium-activated nucleotidase 1,2,-1,2,-1,-1,-0.12,1,-1.51,1.84,-1.22
NP_598004,KCNV2,potassium voltage-gated channel subfamily V member 2,0,-3,-7,2,0,-6.35,1.16,0.11,1.84,0.56
NP_001156793,NA,coiled-coil domain-containing protein 120 isoform 1,0,0,0,-1,0,-5.98,-0.42,-0.11,1.84,-2.13
NP_001758,CD2,T-cell surface antigen CD2 precursor,2,0,-2,-2,2,-6.54,-2.38,-0.11,1.84,0.5
NP_000867,IGF2R,cation-independent mannose-6-phosphate receptor precursor,2,1,0,-1,0,-0.86,-0.96,-1,1.83,0.69
NP_079436,WDR26,WD repeat-containing protein 26 isoform a,2,0,0,0,1,0.22,0.38,-1.47,1.83,0.46
NP_000935,PPP3CA,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform 1,2,1,0,1,1,-0.23,0.57,1.69,1.83,0.26
NP_005891,SMAD1,mothers against decapentaplegic homolog 1,2,1,-1,0,-1,0.61,-0.05,0.59,1.83,0.66
NP_001245299,NA,protein diaphanous homolog 3 isoform g,1,2,0,0,0,0,-0.68,-0.62,1.83,-0.14
NP_775965,ATP11C,probable phospholipid-transporting ATPase IG isoform a,1,2,1,0,-6,-13.72,4.15,1.16,1.83,-0.35
NP_061899,NA,transmembrane and coiled-coil domain-containing protein 1 isoform a,2,0,-4,0,2,-4.02,-1.46,-1.57,1.83,0.09
NP_000683,ALDH1B1,"aldehyde dehydrogenase X, mitochondrial precursor",2,-2,0,1,1,2.82,-1.89,2.98,1.83,0.71
NP_001120665,CNBP,cellular nucleic acid-binding protein isoform 2,2,0,1,2,0,-0.87,0.26,0.62,1.83,0.25
NP_002484,NDUFB6,NADH dehydrogenase,2,-1,-1,-1,2,-6.37,-1.04,-2.8,1.83,0.55
NP_149351,SURF4,surfeit locus protein 4,1,0,-1,-2,1,-0.7,1.08,-0.13,1.83,1.71
NP_001033796,CDC42SE1,CDC42 small effector protein 1,0,0,0,0,0,0,0.71,-1.52,1.83,-0.21
NP_001009814,KIAA0564,von Willebrand factor A domain-containing protein 8 isoform b precursor,2,0,-2,-2,1,3.57,0.12,-1.94,1.82,-0.15
NP_000926,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 isoform 2 precursor",2,3,0,0,-1,1.95,2.23,0.02,1.82,1.33
NP_001124163,PPP3CA,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform 2,2,1,1,1,1,-0.43,0.59,1.69,1.82,0.26
NP_001124154,GUCY1A3,guanylate cyclase soluble subunit alpha-3 isoform A,2,2,1,-1,-1,0.82,0.48,1.64,1.82,0.47
NP_003801,TNFSF10,tumor necrosis factor ligand superfamily member 10 isoform 1,4,1,-6,-2,1,-1.07,0.9,-3.25,1.82,-0.62
NP_112200,TMEM49,vacuole membrane protein 1,2,-1,0,0,2,-6.35,0.08,-2.19,1.82,2.88
NP_001035905,CAST,calpastatin isoform f,2,0,-2,-2,0,-1.91,-0.23,0.62,1.82,1.95
NP_001173,ALDH7A1,alpha-aminoadipic semialdehyde dehydrogenase isoform 1 precursor,2,-1,1,0,0,-0.58,-1.02,-0.95,1.82,-1.44
NP_001181973,NA,yorkie homolog isoform 3,2,1,1,0,0,0.93,0.46,1.51,1.82,-0.99
NP_006097,NA,yorkie homolog isoform 2,2,1,1,0,0,0.69,0.46,1.48,1.82,-0.99
NP_114430,NCALD,neurocalcin-delta,1,3,6,0,-1,1.22,-2.04,-0.92,1.82,1.7
NP_005611,NA,protein S100-A11,2,1,1,0,1,0.51,2.07,-0.02,1.82,-2.57
NP_055841,MON2,protein MON2 homolog isoform 1,2,0,-1,-1,1,-0.26,0.91,-0.22,1.82,0.17
NP_001243692,NA,protein FAM49B,2,0,1,2,1,-0.49,0.38,1.62,1.82,-1.17
NP_001229510,NA,ras and Rab interactor 2 isoform 1,3,1,-1,1,0,-0.16,0.18,1.15,1.82,1.2
NP_004827,EIF2AK3,eukaryotic translation initiation factor 2-alpha kinase 3 precursor,1,1,0,0,0,0,0.75,-0.43,1.82,-0.06
NP_060024,PARP14,poly,2,0,2,0,1,-0.89,-1.26,-1.4,1.81,-0.49
NP_001257327,NA,inactive tyrosine-protein kinase 7 isoform e,2,1,0,2,2,0.22,0.42,1.61,1.81,-0.13
NP_061155,ANLN,actin-binding protein anillin,3,2,-1,1,1,-2.06,2.65,-2.52,1.81,-0.63
NP_443173,GBP4,guanylate-binding protein 4,2,-1,5,-1,0,-1.95,-1.28,-0.83,1.81,-1.41
NP_001027539,SPINT1,kunitz-type protease inhibitor 1 isoform 2 precursor,1,2,-1,-2,0,-2.98,0.6,-1.48,1.81,0.53
NP_037504,GREM1,gremlin-1 isoform 1 precursor,2,-4,0,0,3,0.39,0.38,1.41,1.81,0.71
NP_001178251,NA,gremlin-1 isoform 3,3,-4,0,0,3,0.39,0.39,1.41,1.81,0.71
NP_114107,MRPS21,"28S ribosomal protein S21, mitochondrial",0,-1,1,1,-1,2.12,-0.99,-0.58,1.81,-1.19
NP_054749,GIT1,ARF GTPase-activating protein GIT1 isoform 2,2,0,0,1,-1,0.13,-0.27,0.48,1.81,-0.78
NP_821074,STARD13,stAR-related lipid transfer protein 13 isoform 1,1,1,-1,0,-1,0.63,-1.46,0.88,1.81,-0.8
NP_001230405,NA,stAR-related lipid transfer protein 13 isoform 4,1,1,-1,0,-1,0.63,-1.03,0.96,1.81,-0.8
NP_821075,STARD13,stAR-related lipid transfer protein 13 isoform 2,1,1,-1,0,-1,0.81,-1.46,0.88,1.81,-0.8
NP_006523,ELL,RNA polymerase II elongation factor ELL,2,1,1,2,-1,-1.38,0.28,0.29,1.81,-1.17
NP_065176,NAV1,neuron navigator 1 isoform 1,2,1,-1,-1,1,0.23,-1.02,-0.87,1.8,3.02
NP_891988,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 isoform 1 precursor",2,3,0,0,-1,1.89,2.17,0.02,1.8,1.13
NP_001976,ETFB,electron transfer flavoprotein subunit beta isoform 1,2,2,1,1,-1,-2.08,-3.79,-0.31,1.8,-0.02
NP_000172,GUSB,beta-glucuronidase precursor,0,0,-2,2,-1,1.28,-0.44,-1.21,1.8,-1.58
NP_061881,SMCR7L,mitochondrial dynamic protein MID51,1,0,0,0,-1,-0.65,1.05,-0.23,1.8,-0.07
NP_004285,MTRF1,"peptide chain release factor 1, mitochondrial",0,0,1,-2,1,0.77,-0.28,-0.07,1.8,-1.36
NP_001096,ACVR1,activin receptor type-1 precursor,2,2,-2,1,1,-1.02,0.57,0.6,1.8,-0.5
NP_001987,FBLN1,fibulin-1 isoform C precursor,2,2,-2,1,1,1.54,-0.42,3.7,1.8,-1.01
NP_055180,HSPB8,heat shock protein beta-8,1,-1,-4,0,-1,2.91,-0.72,-1.74,1.8,0.61
NP_060494,WDYHV1,protein N-terminal glutamine amidohydrolase,0,1,0,0,-2,0.99,-0.85,2.39,1.8,-0.46
NP_056993,NBAS,neuroblastoma-amplified sequence,2,1,-1,0,1,-0.37,0.13,0.38,1.8,0.02
NP_006286,VARS,valine--tRNA ligase,2,1,1,0,0,-0.3,0.24,0.17,1.8,0.33
NP_057066,YBX2,Y-box-binding protein 2,2,0,0,2,-1,-1.59,-0.13,0.71,1.8,0.58
NP_001400,MEGF6,multiple epidermal growth factor-like domains protein 6 precursor,2,2,-1,0,0,-3.04,-0.24,2.26,1.79,-0.01
NP_821077,DGKH,diacylglycerol kinase eta isoform 2,2,0,0,-1,1,0.39,0.5,0.28,1.79,-0.05
NP_001191435,NA,diacylglycerol kinase eta isoform 4,2,0,1,-1,1,0.39,0.5,0.28,1.79,-0.05
NP_116231,TMEM209,transmembrane protein 209,2,1,1,0,1,-0.26,-0.06,-0.8,1.79,0.98
NP_036351,MRAS,ras-related protein M-Ras isoform 1 precursor,0,0,3,0,-1,2.76,-0.15,0.18,1.79,0.76
NP_940938,TMEM205,transmembrane protein 205,3,0,-4,-1,6,-2.46,0.17,-0.76,1.79,1.48
NP_001121188,ETFA,"electron transfer flavoprotein subunit alpha, mitochondrial isoform b",2,2,1,0,-1,-1.76,-4.18,-1.13,1.79,0.79
NP_004477,GOLGA2,Golgin subfamily A member 2,2,0,-2,0,0,-0.38,0.52,-0.21,1.79,0.16
NP_002826,PTPN12,tyrosine-protein phosphatase non-receptor type 12 isoform 1,2,1,-1,0,1,-0.01,-0.4,-0.72,1.79,0.19
NP_031383,COG2,conserved oligomeric Golgi complex subunit 2 isoform 1,1,1,-1,-1,0,1.04,0.75,-0.34,1.79,0.41
NP_056456,TES,testin isoform 1,2,1,1,0,0,-1.02,-0.77,1.44,1.79,-0.05
NP_006627,MTHFD2,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor",2,0,0,1,-2,-1.64,0.06,-2.86,1.79,-0.09
NP_000213,KIT,mast/stem cell growth factor receptor Kit isoform 1 precursor,0,0,5,-1,-2,1.43,-1.29,1.87,1.79,-2.29
NP_004857,SCAMP1,secretory carrier-associated membrane protein 1,2,0,-1,-1,2,-1.02,-0.42,0.5,1.78,0.13
XP_001126659,PTMA,PREDICTED: prothymosin alpha-like,2,0,-5,0,0,-7.13,-2.59,-0.68,1.78,2.32
NP_689616,EGFLAM,pikachurin isoform 1 precursor,-1,4,-6,0,0,0,-0.7,-1.15,1.78,-2.07
NP_001177371,NA,calpastatin isoform m,2,0,-1,-2,0,-1.49,-0.21,0.71,1.78,1.89
NP_689739,PARD3B,partitioning defective 3 homolog B isoform b,1,0,-1,0,-1,0.58,-0.92,0.81,1.78,-0.36
NP_079478,EFHD1,EF-hand domain-containing protein D1 isoform 1,2,4,0,0,1,-0.28,-0.53,0.09,1.78,-0.67
NP_478059,NA,phosphoserine aminotransferase isoform 1,2,2,1,1,-4,1.16,3.62,-2.56,1.78,-3.31
NP_001188306,NA,alpha-aminoadipic semialdehyde dehydrogenase isoform 2,1,-1,1,0,-1,-0.52,-1.02,-0.95,1.77,-1.54
NP_075387,UPF3A,regulator of nonsense transcripts 3A isoform hUpf3p,1,1,1,1,1,-0.49,0.57,0.34,1.77,-0.51
NP_001230694,NA,rab GTPase-activating protein 1-like isoform C,2,1,-1,1,1,-0.47,-0.72,-0.23,1.77,0.03
NP_000117,ETFA,"electron transfer flavoprotein subunit alpha, mitochondrial isoform a",2,2,1,0,-1,-1.81,-4.17,-1.12,1.77,0.75
NP_057314,CYB5R4,cytochrome b5 reductase 4,1,1,1,0,0,1.2,2.17,-0.06,1.77,0.29
NP_659449,CCNY,cyclin-Y isoform 1,2,2,0,1,1,1.17,1.58,1.52,1.77,-0.24
NP_001092086,C1ORF43,uncharacterized protein C1orf43 isoform 3,2,0,-5,-3,0,-1.78,0.32,-0.56,1.77,-1
NP_001766,CD38,ADP-ribosyl cyclase 1,2,1,1,-2,0,-3.33,-0.02,-1.44,1.76,-1.6
NP_002088,GTF3A,transcription factor IIIA,0,0,-3,3,2,-1.38,-0.59,0.35,1.76,1.75
NP_004365,COX6C,cytochrome c oxidase subunit 6C proprotein,1,0,0,0,1,-3.27,-0.98,-1.11,1.76,3.95
NP_776195,NA,protein YIPF6 isoform A,5,1,-1,0,2,-0.12,-1.15,-2.2,1.76,-1.4
NP_001181875,NA,eukaryotic translation initiation factor 4 gamma 1 isoform 6,2,0,0,1,0,-0.67,1.37,-0.3,1.76,0.19
NP_886553,NA,eukaryotic translation initiation factor 4 gamma 1 isoform 1,2,0,0,1,0,-0.63,1.38,-0.29,1.76,0.2
NP_005733,PDIA6,protein disulfide-isomerase A6 precursor,1,1,1,0,-1,-0.58,0.08,-1.7,1.76,-0.82
NP_001001992,USP16,ubiquitin carboxyl-terminal hydrolase 16 isoform b,2,0,0,0,1,-0.34,0.03,-0.21,1.76,0.21
NP_001027582,USP16,ubiquitin carboxyl-terminal hydrolase 16 isoform a,2,0,0,0,1,-0.34,0.03,-0.21,1.76,0.21
NP_064512,TUFT1,tuftelin isoform 1,2,1,-2,-1,0,1.19,0.83,-0.14,1.76,-1.24
NP_940932,MXRA7,matrix-remodeling-associated protein 7 isoform 3 precursor,2,1,-5,-2,3,-1.3,-0.44,1.45,1.76,3.34
NP_937887,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 2,2,0,0,1,0,-0.63,1.46,-0.29,1.75,0.2
NP_937885,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 3,2,0,0,1,0,-0.63,1.46,-0.29,1.75,0.2
NP_006249,PRKG1,cGMP-dependent protein kinase 1 isoform 2,2,0,1,0,1,1.9,-0.99,4.03,1.75,1.33
NP_005810,STX6,syntaxin-6,1,1,0,-2,3,-0.18,-0.24,-1.86,1.75,-1.33
NP_055544,TOX,thymocyte selection-associated high mobility group box protein TOX,2,-1,-1,0,4,-3.49,-0.71,-0.44,1.75,-0.03
NP_003206,TEC,tyrosine-protein kinase Tec,0,0,-3,0,1,-2.16,-2.69,-2.29,1.75,-2.62
NP_003177,TAGLN,transgelin,2,1,1,0,1,0.48,-1.6,2.63,1.75,0.17
NP_060606,ASPM,abnormal spindle-like microcephaly-associated protein isoform 1,4,1,-6,0,2,-3.53,-1.04,-0.5,1.75,-0.53
NP_006403,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta isoform a precursor,0,0,-3,-2,3,-1.57,1.59,-0.44,1.75,1.43
NP_009090,SLMAP,sarcolemmal membrane-associated protein,2,1,-1,-1,2,0.8,-0.56,1.14,1.75,1.38
NP_060734,TYW1,tRNA wybutosine-synthesizing protein 1 homolog,1,0,-1,0,2,-3.58,-1.22,-1.55,1.75,0.45
NP_001138912,NA,tRNA wybutosine-synthesizing protein 1 homolog B isoform 1,0,0,0,1,0,0,0.36,-0.36,1.75,0.45
NP_036397,RHBDD3,rhomboid domain-containing protein 3,0,0,-1,-1,1,-3.67,-0.46,-2.53,1.75,0.42
NP_005942,MT1H,metallothionein-1H,2,4,-8,1,-1,-10.33,1.27,-0.62,1.75,3.32
NP_004386,DBN1,drebrin isoform a,2,1,-2,-1,1,-0.4,-1.44,1.42,1.74,0.76
NP_001598,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal isoform a",1,1,-2,-2,3,0.17,-2.32,-2.09,1.74,-1.15
NP_056176,R3HDM1,R3H domain-containing protein 1,1,1,0,1,0,-2.03,0.32,-0.09,1.74,1.47
NP_001073986,SETD5,SET domain-containing protein 5,0,0,-2,1,0,-1.89,2.04,1.28,1.74,-0.23
NP_004039,B2M,beta-2-microglobulin precursor,2,-1,4,-1,0,-1.98,0.33,-0.81,1.74,-1.33
NP_001164263,FAM82A1,regulator of microtubule dynamics protein 2 isoform 2,2,0,-1,-1,-1,1.02,-0.13,0.56,1.74,-0.73
NP_002950,SORT1,sortilin isoform 1 preproprotein,2,0,0,-1,0,-0.79,-0.87,-0.74,1.74,0.39
NP_775837,C22ORF30,protein PRR14L,-1,0,1,0,0,0.66,2.56,0.77,1.74,1.25
NP_919299,B3GALTL,"beta-1,3-glucosyltransferase precursor",2,1,1,0,1,1.97,0.66,0.81,1.74,0.09
NP_001852,COX4I1,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor",2,0,0,-1,2,-3.71,-0.43,-2.37,1.74,2.65
NP_061936,EML4,echinoderm microtubule-associated protein-like 4 isoform a,2,3,0,0,-1,-0.97,0.2,-0.53,1.73,-0.93
NP_071761,TFB2M,"dimethyladenosine transferase 2, mitochondrial",1,-1,1,1,0,-0.27,1.7,-1.97,1.73,1.57
NP_055545,MLEC,malectin precursor,2,0,0,-1,2,-3.18,0.5,-1.17,1.73,2.15
NP_001124198,CCDC149,coiled-coil domain-containing protein 149 isoform 2,2,1,-1,1,0,0.19,0.12,0.12,1.73,-0.2
NP_065177,KIAA1191,putative monooxygenase p33MONOX isoform a,0,-1,-1,0,0,0.78,-1.61,-0.02,1.73,0.57
NP_060629,NUDT11,diphosphoinositol polyphosphate phosphohydrolase 3-beta,2,-1,-2,3,3,-1.44,-0.55,1.66,1.73,0.58
NP_002609,PEX13,peroxisome biogenesis factor 13,2,2,-1,-1,0,-3.03,1.33,-3.06,1.73,-0.16
NP_055873,KIAA0564,von Willebrand factor A domain-containing protein 8 isoform a precursor,1,0,-2,-1,1,3.57,-0.03,-1.86,1.73,0.31
NP_073744,FAM129B,niban-like protein 1 isoform 1,2,1,0,2,1,0.34,3.2,0.03,1.73,0.73
NP_060167,ESRP1,epithelial splicing regulatory protein 1 isoform 1,2,0,1,2,-1,-0.5,0.62,-1.27,1.73,-0.15
NP_115921,FNDC1,fibronectin type III domain-containing protein 1 precursor,3,1,-2,2,3,-1.33,-2.25,4.34,1.72,-0.19
NP_065076,RALGAPA2,ral GTPase-activating protein subunit alpha-2,1,1,-2,-1,1,-0.34,0.67,0.92,1.72,-0.91
NP_002363,MAN2A1,alpha-mannosidase 2,2,-1,0,-1,3,-0.03,1.48,-0.96,1.72,0.94
NP_001171821,NA,FAD synthase isoform 4,1,-1,0,0,0,-0.13,1.56,-1.31,1.72,-1.97
NP_073617,RMND5A,protein RMD5 homolog A,1,1,0,0,1,0.39,0.63,-0.88,1.72,0.22
NP_057384,ARPP21,cAMP-regulated phosphoprotein 21 isoform 1,2,2,0,3,1,-5.48,2.35,0.92,1.72,-0.82
NP_061139,WDR4,tRNA (guanine-N(7)-)-methyltransferase subunit WDR4 isoform 1,2,0,1,2,-1,-0.16,0.6,-0.82,1.72,0.55
NP_005393,RALA,ras-related protein Ral-A precursor,3,1,-2,0,1,-0.93,1.67,0.9,1.72,1.2
NP_005460,ACOT8,acyl-coenzyme A thioesterase 8,1,0,-1,-1,3,-1.45,-1.32,-2.88,1.72,1.44
NP_006803,OS9,protein OS-9 isoform 1 precursor,1,0,-1,0,1,-0.85,-1.17,-0.68,1.72,-0.05
NP_001248349,NA,protein OS-9 isoform 5 precursor,1,0,-1,0,1,-0.67,-1.17,-0.62,1.72,-0.05
NP_848632,B4GALNT4,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1,1,5,0,0,0,-5.97,-0.11,2.36,1.72,0.3
NP_660339,CADM4,cell adhesion molecule 4 precursor,1,1,0,0,-2,0.11,-1.09,-0.28,1.72,-1.43
NP_055429,PSME4,proteasome activator complex subunit 4,2,0,1,1,0,-1.63,0.03,-1.42,1.71,-0.35
NP_775949,NA,protein FAM115C isoform A,1,1,-1,1,1,-2.1,1.51,-0.13,1.71,-1.15
NP_114401,C9ORF5,transmembrane protein 245,0,0,-5,-2,3,-5.86,-0.02,-0.86,1.71,2.63
NP_036439,EPB41L3,band 4.1-like protein 3,1,2,0,0,0,0.93,-1.22,0.5,1.71,-0.33
NP_001116298,ESRP1,epithelial splicing regulatory protein 1 isoform 3,2,0,1,2,-1,-0.48,0.68,-1.35,1.71,-0.15
NP_004715,ZW10,centromere/kinetochore protein zw10 homolog,1,0,0,-1,1,-0.57,1.04,-0.1,1.71,-0.29
NP_002204,ITGB5,integrin beta-5 precursor,3,1,-3,0,2,-1.06,0.01,3.33,1.71,0.77
NP_612143,ZNF681,zinc finger protein 681,3,1,-9,0,1,-6.1,-1.89,-1.16,1.71,4
NP_001076804,ZFP112,zinc finger protein 112 isoform 1,1,-2,-9,1,1,-7.04,-0.31,0.04,1.71,4
NP_002115,NA,"major histocompatibility complex, class II, DR beta 1 precursor",2,1,6,-1,-2,-0.94,-0.28,1.43,1.71,-3.96
NP_065698,JPH1,junctophilin-1,3,4,-6,-2,-3,-9.45,-7.69,-3.45,1.71,-0.2
NP_115799,NA,zinc finger protein 528,1,-2,-5,0,0,-0.24,0.06,1.68,1.71,4
NP_620149,LYPLAL1,lysophospholipase-like protein 1,1,0,0,-1,-1,0.84,0.94,-0.59,1.71,-1.47
NP_001986,ACSL1,long-chain-fatty-acid--CoA ligase 1,2,1,1,-1,0,4.7,-1.72,-0.91,1.7,-2.24
NP_004550,YBX1,nuclease-sensitive element-binding protein 1,2,0,-1,2,0,-2.77,-0.12,0.57,1.7,1.4
NP_006558,FARS2,"phenylalanine--tRNA ligase, mitochondrial precursor",0,0,-1,0,2,-0.58,-0.03,-1.56,1.7,-1.1
NP_001128529,LRRC15,leucine-rich repeat-containing protein 15 isoform a precursor,3,2,-2,-1,4,1.89,-1.07,6.26,1.7,0.35
NP_056519,PPPDE2,desumoylating isopeptidase 1,1,0,1,0,-2,1.71,2.36,0.56,1.7,-0.38
NP_003174,ADAM17,disintegrin and metalloproteinase domain-containing protein 17 preproprotein,1,1,-1,-1,1,-1.12,0.1,0.45,1.7,0.13
NP_002490,NEO1,neogenin isoform 1 precursor,1,1,0,0,0,-1.74,0.59,1.05,1.7,2.34
NP_998885,CHCHD10,"coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial precursor",2,1,0,0,-2,0.59,-1.35,-0.41,1.7,-0.34
NP_005327,HDLBP,vigilin isoform a,2,2,-1,0,0,0.73,-0.13,0.8,1.69,0.65
NP_113619,NA,conserved oligomeric Golgi complex subunit 3,1,0,-1,-1,1,1.55,0.94,-0.58,1.69,-0.15
NP_057661,RAB6B,ras-related protein Rab-6B,2,1,0,0,2,-1.32,2.53,0.02,1.69,1.28
NP_001793,CDR2,cerebellar degeneration-related protein 2,2,1,0,0,0,-0.25,0.14,0,1.69,-0.43
NP_061982,ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase,0,1,-2,-1,3,-0.85,0.17,-1.24,1.69,0.46
NP_001138482,C12ORF70,uncharacterized protein C12orf70,4,1,0,0,0,0,2.65,0.08,1.69,-0.83
NP_004437,EPRS,bifunctional glutamate/proline--tRNA ligase,1,0,0,0,0,-0.68,1.49,-0.32,1.69,1.09
NP_001230829,NA,vigilin isoform b,2,2,-1,0,0,0.75,-0.14,0.78,1.69,0.67
NP_064507,KCMF1,E3 ubiquitin-protein ligase KCMF1,1,1,0,0,0,0.24,0.34,0.4,1.69,-3.48
NP_849157,ZNF827,zinc finger protein 827,2,2,0,0,-1,-0.8,-0.25,-0.16,1.69,1.16
NP_115649,TMEM126A,transmembrane protein 126A isoform 1,1,0,1,0,0,0.45,0.42,-1.81,1.69,0.44
NP_001092755,PTMAP4,prothymosin alpha isoform 1,2,0,-5,0,-1,-6.13,-2.21,-0.06,1.69,1.39
XP_003960943,NA,PREDICTED: uncharacterized LOC101059922,0,0,-2,2,0,0.63,-0.27,0.42,1.69,-2.28
NP_859075,TMEM119,transmembrane protein 119 precursor,0,1,-1,0,3,-0.32,-1.14,5.2,1.69,-1.36
NP_444253,MYLK,"myosin light chain kinase, smooth muscle isoform 1",2,0,1,-1,1,0.55,-1.57,3.53,1.68,1.4
XP_003403435,NA,PREDICTED: baculoviral IAP repeat-containing protein 1 isoform 1,1,2,2,0,0,0.01,-0.37,-0.97,1.68,-0.28
